CC, CD, DD, DC
15,26,30,29
15,26,30,29
14,20,27,28
13,20,25,25
13,18,25,24
14,20,25,24
13,21,24,23
13,24,27,21
14,24,25,22
13,22,24,24
11,20,22,24
13,19,21,23
14,19,20,20
15,18,20,19
17,19,17,20
18,19,18,20
22,20,17,19
18,25,17,20
18,25,17,21
18,21,14,23
18,19,15,21
18,22,18,21
19,21,18,22
19,21,17,21
19,21,13,20
17,20,7,19
18,20,8,20
19,25,11,19
18,26,12,19
17,25,11,17
17,21,13,16
17,21,13,17
22,21,13,19
20,18,13,22
21,15,13,21
20,15,14,22
20,17,16,23
19,16,19,23
22,15,19,21
22,16,18,18
19,15,16,21
19,14,17,22
20,17,17,22
17,18,17,18
19,20,16,20
17,20,20,16
18,19,20,18
19,21,21,18
18,21,19,19
16,21,18,21
13,22,18,21
14,20,15,17
16,21,15,15
16,22,12,18
14,24,13,18
13,23,15,19
13,21,16,16
14,22,14,18
13,24,14,16
12,25,16,15
12,27,17,15
12,27,18,14
13,22,18,16
12,20,20,17
14,19,18,18
16,21,17,18
16,21,16,20
17,19,20,21
17,19,19,25
17,18,16,24
15,13,17,24
14,13,14,26
14,12,14,27
15,16,14,28
18,16,13,28
16,16,16,24
17,16,14,25
20,18,16,25
19,20,13,26
19,23,14,23
15,20,15,23
15,18,15,20
16,19,18,20
17,18,15,19
20,15,16,23
19,15,17,27
20,14,16,25
23,14,17,24
23,15,15,24
22,14,18,22
18,14,21,20
15,13,18,19
19,15,18,20
20,15,17,21
19,13,13,21
22,14,13,21
22,13,12,19
23,14,12,19
23,14,11,21
22,15,13,22
18,14,12,21
21,13,13,23
22,12,11,22
20,13,10,23
19,17,8,22
22,19,9,22
19,19,8,23
18,20,9,24
17,20,10,24
17,18,9,23
14,18,7,23
18,20,9,20
18,22,9,21
18,23,9,22
21,22,13,19
25,21,12,20
24,21,10,23
25,20,9,20
23,21,11,21
26,20,13,24
26,19,14,26
27,16,14,26
27,16,13,27
26,15,13,24
24,14,13,21
22,16,15,20
24,11,15,21
26,12,16,19
27,14,17,17
27,15,15,16
26,11,14,16
19,9,17,14
19,10,19,14
17,9,18,16
18,10,19,18
20,8,18,19
21,10,15,20
26,11,15,21
24,9,13,20
22,8,15,23
27,8,18,24
25,10,16,25
20,11,15,24
19,12,15,25
18,12,15,24
19,12,15,28
19,12,18,26
20,11,17,24
18,10,19,25
20,9,17,25
18,11,16,24
18,9,16,26
17,7,14,31
20,6,14,30
21,7,12,29
21,7,14,28
17,8,17,27
16,8,16,31
14,7,18,32
14,6,18,34
13,6,18,34
12,6,18,34
14,6,20,34
16,5,19,34
14,5,18,30
16,4,20,26
19,4,21,28
21,3,21,27
21,4,23,25
21,4,26,25
24,3,22,25
26,1,21,27
28,0,22,26
27,0,25,24
25,0,27,30
26,0,24,31
27,0,25,31
21,0,24,24
21,0,28,25
21,0,28,26
21,0,32,27
20,0,30,29
22,0,28,31
23,0,29,31
22,2,32,30
20,2,26,29
18,3,23,30
15,4,23,28
15,5,23,29
15,5,25,27
16,3,20,25
18,2,17,28
19,2,16,27
20,2,17,26
20,3,20,26
19,4,18,28
22,4,18,23
19,3,20,24
21,3,20,23
20,3,19,22
23,3,17,23
20,3,20,19
17,4,22,20
18,6,21,19
18,5,20,18
17,5,19,15
16,5,23,15
17,5,23,12
18,6,21,11
16,6,22,13
15,7,25,12
16,7,25,11
18,7,25,9
18,8,27,10
21,8,28,13
21,9,26,12
23,9,28,14
21,9,27,16
23,11,22,17
28,12,21,16
28,10,18,15
30,10,18,14
27,13,23,16
26,11,22,15
27,10,22,14
22,10,27,14
17,8,30,15
17,8,31,14
18,10,33,15
20,10,31,15
19,9,27,15
22,10,35,14
22,10,36,14
24,11,34,15
27,13,34,13
26,12,32,13
24,11,28,13
27,13,23,14
26,12,23,13
24,12,23,9
23,12,25,10
26,12,24,10
27,11,24,9
26,13,20,12
30,14,19,12
27,13,17,16
28,17,18,19
24,16,18,19
21,15,16,17
28,16,17,15
28,14,17,15
25,10,16,16
31,11,14,13
30,13,14,14
32,14,13,14
35,15,14,17
42,14,15,15
40,15,16,12
37,14,14,9
38,14,16,9
43,13,16,10
41,12,18,13
39,10,18,12
36,10,17,12
32,8,21,10
33,8,19,10
28,9,20,10
34,7,20,9
35,6,16,10
33,5,17,10
35,5,16,9
33,5,16,9
35,6,17,9
33,7,18,11
36,8,15,12
34,8,16,11
34,9,16,10
33,8,14,10
32,8,15,9
33,7,15,10
34,9,17,9
37,10,16,10
36,7,17,12
32,7,16,12
28,7,16,11
30,8,21,12
26,9,19,11
29,9,19,12
31,8,16,11
30,10,13,10
30,11,16,9
29,11,16,9
29,10,15,10
30,8,18,8
27,8,20,7
27,9,22,8
21,9,20,10
17,10,23,9
15,11,23,9
17,11,25,11
18,10,27,11
22,14,32,11
25,16,29,11
27,17,31,13
25,14,27,10
20,15,31,10
22,17,27,11
20,18,25,11
21,16,23,11
22,16,21,11
18,15,22,11
19,13,26,12
22,13,28,12
22,14,25,10
21,15,24,9
22,12,26,7
19,11,24,7
20,8,23,8
19,7,19,8
22,9,21,7
19,11,22,7
16,12,21,10
19,14,21,9
20,14,17,8
17,12,20,8
18,10,20,7
20,13,19,7
20,16,21,9
21,18,21,9
23,16,21,10
20,19,24,9
18,22,21,8
16,18,21,7
16,18,22,6
18,18,23,6
18,17,24,5
19,14,24,4
22,12,22,2
20,9,25,2
20,7,25,3
22,6,25,5
25,5,27,6
27,7,30,5
26,6,33,6
26,6,34,4
25,6,34,4
24,6,33,4
23,5,36,4
24,4,31,3
29,3,34,4
33,3,34,4
33,4,35,4
33,3,32,4
32,3,32,3
29,2,32,3
35,2,34,4
38,2,31,4
38,2,31,3
38,2,28,2
39,2,26,3
41,2,27,3
37,3,28,2
41,3,28,2
36,3,27,1
38,5,27,0
38,5,29,0
39,5,26,0
40,6,29,0
38,5,29,0
38,5,26,0
38,5,26,0
41,3,22,1
41,3,24,1
41,5,24,1
43,5,22,1
41,6,23,1
40,5,24,1
41,5,24,2
44,5,24,1
48,5,25,2
49,5,28,1
49,7,27,1
48,7,23,0
43,8,22,0
42,6,21,2
47,7,20,2
44,8,20,2
44,12,18,2
43,12,18,2
41,12,18,3
38,15,18,3
36,15,19,5
37,15,24,5
