"export-plot data (NetLogo 5.1.0)"
"Ethnocentrism.nlogo"
"04/16/2015 14:13:00:687 +1000"

"MODEL SETTINGS"
"mutation-rate","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-different","death-rate","immigrant-chance-cooperate-with-same","cost-of-giving","gain-of-receiving"
"0.0050","0.12","1","0.5","0.1","0.5","0.01","0.03"

"""Strategy Counts"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","231","true","""CC""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""CC""","true","0","1","55","946"
"""CD""","true","0","1","15","946"
"""DC""","true","0","1","44","946"
"""DD""","true","0","1","0","946"

"""CC""",,,,"""CD""",,,,"""DC""",,,,"""DD"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","116","55","true","0","92","15","true","0","106","44","true","0","106","0","true"
"1","106","55","true","1","83","15","true","1","94","44","true","1","92","0","true"
"2","98","55","true","2","78","15","true","2","88","44","true","2","91","0","true"
"3","88","55","true","3","76","15","true","3","88","44","true","3","82","0","true"
"4","82","55","true","4","76","15","true","4","86","44","true","4","82","0","true"
"5","82","55","true","5","74","15","true","5","76","44","true","5","82","0","true"
"6","86","55","true","6","68","15","true","6","77","44","true","6","74","0","true"
"7","82","55","true","7","68","15","true","7","73","44","true","7","75","0","true"
"8","78","55","true","8","67","15","true","8","74","44","true","8","77","0","true"
"9","74","55","true","9","70","15","true","9","62","44","true","9","79","0","true"
"10","72","55","true","10","70","15","true","10","61","44","true","10","73","0","true"
"11","73","55","true","11","70","15","true","11","62","44","true","11","73","0","true"
"12","73","55","true","12","65","15","true","12","64","44","true","12","76","0","true"
"13","75","55","true","13","68","15","true","13","61","44","true","13","78","0","true"
"14","70","55","true","14","71","15","true","14","63","44","true","14","78","0","true"
"15","69","55","true","15","73","15","true","15","65","44","true","15","77","0","true"
"16","61","55","true","16","77","15","true","16","61","44","true","16","76","0","true"
"17","58","55","true","17","74","15","true","17","62","44","true","17","74","0","true"
"18","60","55","true","18","66","15","true","18","63","44","true","18","74","0","true"
"19","65","55","true","19","65","15","true","19","59","44","true","19","74","0","true"
"20","71","55","true","20","61","15","true","20","62","44","true","20","81","0","true"
"21","75","55","true","21","62","15","true","21","61","44","true","21","87","0","true"
"22","75","55","true","22","66","15","true","22","60","44","true","22","87","0","true"
"23","76","55","true","23","67","15","true","23","58","44","true","23","83","0","true"
"24","74","55","true","24","67","15","true","24","54","44","true","24","78","0","true"
"25","75","55","true","25","65","15","true","25","50","44","true","25","87","0","true"
"26","70","55","true","26","63","15","true","26","51","44","true","26","87","0","true"
"27","67","55","true","27","59","15","true","27","51","44","true","27","86","0","true"
"28","70","55","true","28","61","15","true","28","58","44","true","28","85","0","true"
"29","69","55","true","29","56","15","true","29","51","44","true","29","90","0","true"
"30","72","55","true","30","57","15","true","30","55","44","true","30","97","0","true"
"31","69","55","true","31","59","15","true","31","55","44","true","31","96","0","true"
"32","71","55","true","32","58","15","true","32","53","44","true","32","90","0","true"
"33","73","55","true","33","59","15","true","33","55","44","true","33","91","0","true"
"34","74","55","true","34","64","15","true","34","51","44","true","34","92","0","true"
"35","80","55","true","35","59","15","true","35","51","44","true","35","90","0","true"
"36","77","55","true","36","60","15","true","36","52","44","true","36","90","0","true"
"37","84","55","true","37","57","15","true","37","53","44","true","37","93","0","true"
"38","80","55","true","38","58","15","true","38","53","44","true","38","103","0","true"
"39","75","55","true","39","56","15","true","39","51","44","true","39","100","0","true"
"40","72","55","true","40","54","15","true","40","46","44","true","40","93","0","true"
"41","73","55","true","41","56","15","true","41","48","44","true","41","90","0","true"
"42","75","55","true","42","51","15","true","42","50","44","true","42","95","0","true"
"43","71","55","true","43","55","15","true","43","51","44","true","43","90","0","true"
"44","70","55","true","44","62","15","true","44","53","44","true","44","86","0","true"
"45","65","55","true","45","60","15","true","45","52","44","true","45","87","0","true"
"46","62","55","true","46","64","15","true","46","52","44","true","46","89","0","true"
"47","69","55","true","47","65","15","true","47","52","44","true","47","91","0","true"
"48","70","55","true","48","64","15","true","48","50","44","true","48","91","0","true"
"49","70","55","true","49","66","15","true","49","53","44","true","49","87","0","true"
"50","74","55","true","50","63","15","true","50","58","44","true","50","83","0","true"
"51","75","55","true","51","64","15","true","51","56","44","true","51","77","0","true"
"52","73","55","true","52","62","15","true","52","61","44","true","52","76","0","true"
"53","67","55","true","53","63","15","true","53","57","44","true","53","71","0","true"
"54","67","55","true","54","68","15","true","54","58","44","true","54","77","0","true"
"55","69","55","true","55","66","15","true","55","61","44","true","55","76","0","true"
"56","69","55","true","56","67","15","true","56","64","44","true","56","75","0","true"
"57","71","55","true","57","71","15","true","57","65","44","true","57","74","0","true"
"58","70","55","true","58","74","15","true","58","65","44","true","58","78","0","true"
"59","64","55","true","59","74","15","true","59","71","44","true","59","76","0","true"
"60","64","55","true","60","72","15","true","60","72","44","true","60","74","0","true"
"61","57","55","true","61","76","15","true","61","71","44","true","61","80","0","true"
"62","62","55","true","62","79","15","true","62","62","44","true","62","79","0","true"
"63","59","55","true","63","84","15","true","63","58","44","true","63","74","0","true"
"64","57","55","true","64","85","15","true","64","60","44","true","64","80","0","true"
"65","61","55","true","65","84","15","true","65","59","44","true","65","78","0","true"
"66","63","55","true","66","80","15","true","66","62","44","true","66","72","0","true"
"67","62","55","true","67","76","15","true","67","58","44","true","67","76","0","true"
"68","60","55","true","68","78","15","true","68","57","44","true","68","77","0","true"
"69","53","55","true","69","76","15","true","69","56","44","true","69","85","0","true"
"70","59","55","true","70","78","15","true","70","55","44","true","70","81","0","true"
"71","58","55","true","71","82","15","true","71","56","44","true","71","85","0","true"
"72","60","55","true","72","88","15","true","72","55","44","true","72","84","0","true"
"73","56","55","true","73","84","15","true","73","48","44","true","73","83","0","true"
