"BehaviorSpace results (NetLogo 5.1.0)"
"Ethnocentrism.nlogo"
"empty"
"04/18/2015 17:53:03:300 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","cc-sum","cd-sum","dc-sum","dd-sum"
"4","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","144","320","76","64"
"1","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","142","393","30","43"
"3","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","115","437","38","51"
"5","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","213","326","22","42"
"6","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","62","487","17","58"
"7","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","113","318","15","111"
"8","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","52","485","28","59"
"9","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","112","390","31","58"
"10","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","59","474","24","41"
"11","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","158","427","15","39"
"13","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","238","324","53","38"
"12","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","97","470","28","27"
"2","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","83","379","30","80"
"14","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","80","449","34","46"
"15","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","85","385","35","92"
"16","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","88","472","6","49"
"19","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","73","364","10","81"
"18","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","75","398","26","71"
"20","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","143","373","36","64"
"17","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","87","375","17","67"
"22","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","105","370","20","76"
"21","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","66","456","34","71"
"23","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","98","447","34","45"
"25","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","101","401","26","63"
"26","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","131","453","20","39"
"27","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","94","347","26","108"
"24","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","113","399","20","56"
"28","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","115","417","23","47"
"29","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","31","408","41","55"
"30","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","87","384","38","76"
"32","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","73","450","17","60"
"33","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","102","422","20","66"
"31","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","109","380","16","66"
"34","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","84","451","9","73"
"35","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","67","417","40","81"
"36","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","124","464","17","52"
"38","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","167","378","24","38"
"39","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","43","494","14","58"
"40","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","65","433","18","78"
"41","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","33","491","12","33"
"37","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","98","416","42","26"
