CC, CD, DD, DC
208,198,190,207
193,192,193,201
172,179,198,193
157,173,196,188
146,181,200,178
144,180,200,172
132,191,196,161
129,203,197,161
123,205,195,165
113,216,193,152
102,215,192,145
93,217,190,139
90,215,187,126
87,224,182,124
83,217,184,123
82,220,189,113
79,232,185,109
75,227,186,102
73,235,179,93
75,244,160,86
73,243,151,83
67,243,151,76
61,254,145,74
58,248,145,73
56,246,149,72
49,244,139,75
49,248,141,76
48,247,142,71
49,260,129,69
47,255,124,71
53,261,127,66
49,281,118,62
47,289,116,62
48,291,108,56
47,300,114,52
50,310,113,51
52,314,114,50
55,317,111,41
53,329,110,38
51,335,108,35
49,338,116,34
46,342,117,35
46,351,117,36
48,358,114,37
49,358,110,40
48,363,111,36
49,355,109,36
47,361,109,33
53,364,108,33
51,378,100,30
52,361,101,31
53,370,96,31
47,386,100,31
49,414,97,32
48,401,96,30
48,412,98,29
45,427,95,25
43,435,96,27
39,447,100,26
39,450,97,30
40,431,87,30
43,446,91,23
41,447,91,20
39,449,93,19
41,461,101,20
41,459,95,18
41,469,92,20
40,482,84,21
41,485,83,21
41,490,80,22
39,487,87,20
39,492,86,19
41,495,92,21
43,515,95,20
42,506,94,23
45,500,93,23
43,500,83,23
36,488,83,23
37,481,81,22
37,481,79,21
35,480,78,20
35,495,82,22
35,494,88,25
34,490,84,26
30,483,83,24
29,500,87,23
33,502,86,21
35,504,87,23
30,501,86,24
30,488,88,21
29,502,90,21
30,516,93,21
34,502,89,22
34,523,89,21
35,534,89,16
36,543,89,15
37,544,86,14
41,550,89,13
40,549,92,15
40,564,88,16
40,552,90,17
39,567,84,16
40,554,78,13
38,549,81,13
39,559,79,14
37,558,81,15
35,553,70,16
34,551,76,15
32,542,79,15
35,516,76,19
34,542,75,18
37,548,72,19
36,517,76,15
34,505,79,16
35,501,76,17
32,512,84,17
29,521,82,15
27,524,87,13
31,532,92,15
27,550,94,16
27,560,96,16
26,546,99,17
25,572,96,19
28,571,94,18
27,558,89,17
29,571,87,19
34,568,91,18
33,551,91,20
29,544,85,22
33,554,92,21
35,567,88,20
34,555,88,21
36,541,87,18
39,528,96,21
42,528,99,19
41,536,97,21
42,519,99,25
40,527,98,26
35,506,91,26
34,504,96,28
34,508,95,28
32,505,98,28
35,511,106,27
40,516,102,28
36,517,94,29
35,526,97,28
32,546,94,27
30,538,100,27
33,535,93,26
34,533,89,30
36,542,88,31
34,549,87,28
31,550,86,29
32,552,89,28
30,574,87,31
30,568,86,31
30,556,93,30
31,561,93,30
30,566,87,30
29,568,83,23
31,547,81,25
26,554,82,23
27,563,79,21
28,553,68,20
30,559,66,16
32,534,67,17
29,533,66,17
29,535,56,18
30,551,58,17
30,557,59,18
25,557,62,19
26,566,54,17
20,568,54,17
22,573,54,20
25,571,60,18
23,546,60,19
26,540,55,14
25,532,58,15
29,553,61,18
27,563,63,20
29,555,63,25
29,573,65,27
31,572,65,28
34,569,67,28
36,565,63,27
40,553,64,27
43,561,67,24
42,571,66,23
41,573,67,25
41,590,61,26
39,589,58,29
39,598,65,27
37,599,68,27
37,596,66,25
31,592,59,24
31,566,58,24
31,578,54,25
36,586,52,23
35,560,53,25
38,556,55,27
43,559,58,26
43,570,58,25
44,551,58,24
40,566,63,24
39,579,63,24
41,586,63,26
42,587,62,26
38,574,58,26
33,554,54,26
29,563,55,27
28,553,54,29
30,559,58,27
32,567,59,29
30,579,58,29
29,556,59,26
26,545,64,25
22,536,66,23
20,542,70,24
20,547,64,22
20,554,70,23
22,546,69,23
21,560,66,20
23,555,71,18
22,566,68,17
24,571,67,17
21,569,64,20
21,565,66,20
24,571,65,17
22,568,69,17
24,577,73,17
24,586,78,20
26,582,85,19
21,570,92,20
22,571,98,15
21,571,89,16
21,578,91,15
22,569,93,16
21,587,90,16
20,595,83,16
18,584,80,16
18,596,80,15
18,588,78,13
18,588,78,13
16,594,76,12
19,583,79,15
14,573,80,16
15,558,80,14
14,577,86,11
12,575,85,11
8,590,83,11
9,599,80,9
8,600,73,10
9,599,75,9
11,605,73,5
12,618,77,5
9,611,85,6
10,605,88,6
9,600,91,6
9,594,89,6
10,596,90,5
10,595,94,5
10,604,91,3
8,599,82,3
9,601,80,2
13,610,76,3
13,612,80,3
12,604,75,4
14,599,79,4
11,594,76,4
14,594,74,5
15,607,75,6
15,607,76,6
17,604,78,5
17,618,77,7
22,596,82,6
26,587,86,4
28,611,79,6
26,614,81,6
30,589,87,5
30,597,81,5
27,591,80,5
31,596,75,4
29,601,69,4
27,605,64,4
26,613,66,4
27,627,63,4
27,637,58,5
30,628,57,4
29,634,58,4
27,631,59,4
25,634,58,4
28,627,63,4
26,617,61,5
24,609,66,5
24,598,67,5
24,605,66,4
22,613,71,3
23,624,71,3
26,622,73,3
25,627,66,4
23,624,67,4
21,604,64,3
22,603,67,3
22,607,67,2
23,606,71,2
23,601,70,2
24,596,64,3
26,623,58,3
28,609,60,2
29,613,63,2
26,602,62,2
31,611,53,3
30,606,52,2
33,612,55,3
30,620,54,4
30,626,53,3
