#CC,CD,DD,DC
116,92,106,106
106,83,92,94
98,78,91,88
88,76,82,88
82,76,82,86
82,74,82,76
86,68,74,77
82,68,75,73
78,67,77,74
74,70,79,62
72,70,73,61
73,70,73,62
73,65,76,64
75,68,78,61
70,71,78,63
69,73,77,65
61,77,76,61
58,74,74,62
60,66,74,63
65,65,74,59
71,61,81,62
75,62,87,61
75,66,87,60
76,67,83,58
74,67,78,54
75,65,87,50
70,63,87,51
67,59,86,51
70,61,85,58
69,56,90,51
72,57,97,55
69,59,96,55
71,58,90,53
73,59,91,55
74,64,92,51
80,59,90,51
77,60,90,52
84,57,93,53
80,58,103,53
75,56,100,51
72,54,93,46
73,56,90,48
75,51,95,50
71,55,90,51
70,62,86,53
65,60,87,52
62,64,89,52
69,65,91,52
70,64,91,50
70,66,87,53
74,63,83,58
75,64,77,56
73,62,76,61
67,63,71,57
67,68,77,58
69,66,76,61
69,67,75,64
71,71,74,65
70,74,78,65
64,74,76,71
64,72,74,72
57,76,80,71
62,79,79,62
59,84,74,58
57,85,80,60
61,84,78,59
63,80,72,62
62,76,76,58
60,78,77,57
53,76,85,56
59,78,81,55
58,82,85,56
60,88,84,55
56,84,83,48
54,81,80,47
53,85,81,42
58,86,88,38
55,84,87,42
52,85,90,44
57,86,95,37
56,86,88,38
55,87,90,36
55,87,93,38
54,97,86,39
54,96,82,35
55,100,88,33
53,100,85,32
54,93,81,34
62,97,80,32
55,87,82,32
56,83,77,28
50,90,74,31
51,89,73,33
53,89,71,29
51,86,70,26
43,91,73,26
45,93,77,32
48,101,73,26
44,102,75,28
43,103,83,28
47,101,83,28
48,101,78,29
46,101,80,30
44,102,81,29
42,94,80,27
45,102,83,28
45,95,83,27
47,98,77,29
45,95,78,28
44,91,83,33
48,77,89,31
52,80,93,33
51,78,98,34
56,81,95,32
55,77,95,31
59,80,92,32
58,73,98,34
58,68,107,37
55,70,108,35
54,71,105,32
61,73,100,30
66,73,96,27
61,76,95,27
61,75,93,25
70,75,90,26
70,77,89,29
69,78,97,31
72,79,96,34
67,80,88,35
68,82,89,32
66,76,88,35
71,73,85,32
73,68,82,32
74,65,79,34
77,68,82,33
79,69,77,33
79,71,68,30
82,68,66,27
79,68,69,24
84,71,67,23
79,73,61,25
82,72,60,23
78,69,55,22
82,71,55,23
83,71,53,25
79,72,49,27
84,73,48,27
80,76,46,24
85,80,47,22
87,82,46,26
92,83,44,28
82,81,40,26
77,80,43,24
75,84,42,24
76,84,45,23
74,85,42,22
78,86,39,26
79,89,41,24
82,85,38,27
75,85,41,28
77,83,43,27
83,90,42,27
91,94,44,24
93,93,44,22
99,100,48,18
102,98,50,20
102,92,52,22
99,92,54,21
91,93,54,21
100,90,59,23
97,94,59,22
95,97,61,22
102,95,58,25
96,101,55,24
96,101,54,26
89,97,56,27
85,97,57,31
85,98,62,32
84,99,58,31
91,99,57,30
88,99,58,28
92,104,62,29
92,102,62,32
88,107,60,32
93,103,59,34
95,109,51,37
93,104,52,38
88,110,53,39
89,111,46,40
85,112,47,35
80,106,52,34
80,109,54,34
83,106,53,34
79,112,54,34
73,97,56,29
74,103,53,28
76,98,54,29
80,103,56,27
78,107,51,29
77,107,49,28
80,105,53,28
81,107,55,25
82,107,55,26
88,107,51,24
88,108,51,23
89,108,47,23
80,109,43,28
81,112,43,28
83,115,42,26
81,114,34,26
84,109,36,24
84,106,37,26
85,114,38,29
86,111,40,30
89,107,43,26
87,111,45,26
84,111,49,24
83,113,53,23
86,104,51,24
82,105,50,22
82,105,46,22
84,101,45,22
86,104,49,24
86,104,46,23
79,99,47,23
77,102,49,23
79,104,50,23
83,98,50,23
83,97,53,26
85,93,49,22
93,84,51,21
90,84,49,21
92,81,43,24
92,80,44,21
90,71,43,22
90,73,48,24
93,75,46,20
96,73,44,21
98,75,45,21
106,82,48,21
105,83,46,22
99,82,47,20
102,86,49,20
108,88,43,20
109,91,47,20
104,94,47,20
107,91,48,19
105,88,50,25
109,85,47,24
105,84,46,24
99,92,44,22
104,94,46,25
111,93,41,24
109,91,45,24
107,92,44,28
101,92,45,25
