#CC, CD, DD, DC
24,26,28,22
24,26,28,22
20,23,27,20
20,21,27,19
15,18,29,18
14,17,28,16
13,13,28,15
14,13,28,13
13,15,27,15
11,16,26,16
12,19,25,16
14,19,23,18
13,19,24,15
14,17,22,14
14,17,21,18
18,15,24,19
17,15,26,20
16,15,24,20
17,16,27,18
17,16,27,16
13,15,25,17
13,16,25,17
11,15,28,17
9,14,26,18
7,14,26,17
4,15,27,18
5,13,28,17
6,15,31,19
5,16,29,19
5,16,28,23
6,17,20,24
9,16,21,24
9,18,22,21
9,17,24,21
10,18,25,21
11,20,21,22
11,19,18,20
14,22,17,19
14,21,18,18
15,22,20,19
15,22,18,18
15,20,18,17
14,20,22,21
13,17,20,21
12,14,22,22
13,14,20,23
12,19,21,22
13,22,24,21
13,22,22,19
11,25,22,19
13,23,20,19
12,20,20,17
13,21,20,19
13,20,21,19
15,22,21,19
15,22,19,16
14,20,20,13
12,21,16,12
13,21,20,10
15,22,23,10
18,22,21,9
19,22,21,7
22,21,20,8
24,21,18,8
22,20,16,9
19,17,16,11
22,15,18,13
22,15,16,13
22,15,16,11
20,16,16,11
17,19,15,10
17,19,17,9
15,19,15,8
18,22,17,7
19,20,19,8
17,21,21,9
18,22,23,10
18,21,23,11
20,23,22,12
20,21,20,12
22,19,20,11
21,19,21,10
22,20,19,9
22,21,22,10
22,19,21,8
20,19,21,9
20,14,20,9
19,17,21,12
21,16,20,11
20,17,20,12
23,19,23,12
25,18,25,10
24,17,28,11
24,17,25,12
24,19,26,13
24,16,23,13
23,14,23,13
22,12,27,12
20,14,29,12
22,17,28,13
22,19,27,13
20,19,27,14
19,18,24,14
21,20,23,14
19,22,19,16
18,24,17,14
16,22,20,13
18,22,20,12
20,24,20,12
21,28,20,13
20,25,18,12
19,25,19,12
21,23,23,10
21,26,18,9
23,27,20,9
21,27,21,8
20,25,20,9
25,25,21,10
24,27,24,9
24,27,25,10
25,27,25,12
25,24,21,10
26,21,22,12
23,21,22,13
23,18,23,13
21,17,24,11
18,16,23,10
17,12,23,10
18,12,25,12
20,13,24,12
19,14,26,13
20,14,25,13
23,11,25,13
23,9,25,10
21,10,26,11
16,13,28,13
14,13,28,16
12,12,30,17
11,12,31,15
10,15,35,16
8,16,30,15
7,18,29,16
8,19,27,18
8,20,24,16
8,18,24,19
7,16,23,18
7,17,23,18
8,16,19,20
8,19,20,20
9,18,18,22
9,19,17,24
9,21,17,24
9,20,16,20
9,19,17,18
7,22,17,19
6,24,21,18
9,23,21,20
10,16,16,20
11,15,19,22
12,16,21,18
13,14,26,19
12,13,27,18
17,13,24,17
19,13,23,18
16,13,20,19
19,14,21,17
15,13,21,16
16,11,24,16
11,12,22,19
10,14,22,20
10,14,19,19
12,15,19,20
9,14,18,21
9,15,17,19
13,14,19,18
15,16,18,19
15,17,22,19
14,18,18,19
18,16,21,20
17,17,20,21
15,18,22,19
14,17,19,17
14,16,17,16
16,18,17,18
16,18,15,20
17,18,20,20
14,16,18,19
14,15,19,21
11,15,19,25
10,18,21,27
11,15,23,28
11,14,26,29
12,16,23,29
14,16,23,28
14,17,21,27
13,17,23,23
13,13,24,20
12,14,23,22
16,15,23,20
18,15,25,21
20,16,28,20
21,16,25,18
21,17,24,18
22,18,24,19
19,19,23,19
16,21,24,19
17,19,22,19
17,20,23,19
15,20,20,16
16,23,19,13
20,21,17,13
21,21,19,12
21,22,21,11
17,20,24,10
21,19,24,9
20,21,25,11
16,20,24,11
17,20,25,11
18,21,25,11
