CC, CD, DD, DC
24,27,30,19
24,27,30,19
22,24,29,19
21,22,24,15
19,20,25,14
19,20,26,12
18,20,24,10
17,20,23,9
16,20,25,8
15,21,27,7
16,19,24,7
17,19,24,7
15,20,24,6
16,26,26,6
17,29,29,4
18,26,30,4
17,28,29,4
20,22,31,5
19,21,30,5
21,22,26,5
19,23,23,6
18,21,23,5
18,23,22,6
19,20,20,6
21,21,18,6
21,20,17,8
22,20,17,6
24,18,17,5
26,19,21,4
25,18,23,4
23,20,24,4
21,20,22,3
20,18,23,3
20,22,24,4
21,21,24,3
21,20,26,5
18,23,27,6
21,24,28,6
19,26,27,5
18,25,28,5
17,25,28,5
19,28,31,5
17,24,28,5
20,20,26,5
20,25,23,4
19,25,25,4
18,24,25,3
17,22,27,3
19,21,27,3
22,19,26,3
23,22,27,3
23,20,26,3
24,21,22,3
21,22,22,4
25,22,23,6
23,23,23,6
23,23,21,5
23,19,21,6
22,20,20,7
22,18,17,8
23,20,20,6
24,19,24,7
25,21,27,7
23,18,29,6
23,16,28,6
24,16,27,6
24,15,28,7
25,14,31,5
23,12,31,4
21,11,29,4
22,13,28,3
18,14,28,5
18,15,27,6
17,13,25,7
18,12,22,7
20,12,24,9
21,11,25,11
19,9,21,12
21,11,20,11
20,8,19,10
22,7,21,12
22,9,22,9
22,12,21,9
21,13,20,8
21,14,21,7
18,17,20,4
14,17,22,4
15,18,21,5
15,21,22,6
13,21,25,6
11,22,26,4
15,22,26,3
17,19,26,6
17,17,26,6
16,19,28,7
15,20,28,8
16,18,29,9
16,20,25,9
17,19,28,9
16,17,29,10
17,19,25,12
18,18,26,12
18,16,27,11
15,16,26,11
18,17,24,13
15,16,25,12
15,15,24,11
16,14,24,13
17,13,23,12
15,11,23,11
14,10,24,11
15,9,26,11
15,12,21,11
14,12,21,11
18,11,20,10
19,14,20,10
17,15,20,8
16,18,22,8
18,21,19,9
18,21,19,9
14,20,19,7
12,20,22,8
12,22,23,10
11,23,22,11
13,22,24,12
13,21,25,10
14,21,25,10
13,27,23,11
12,25,26,13
13,23,27,13
11,21,28,11
10,21,27,13
11,22,26,12
10,25,30,12
13,29,28,12
13,25,28,12
14,26,27,11
11,25,24,11
11,25,23,9
10,30,22,10
10,29,26,10
10,29,21,8
9,27,22,6
10,26,23,8
11,27,27,9
13,27,29,8
12,26,26,9
11,27,29,9
11,24,26,9
11,24,30,9
12,24,28,9
10,21,28,8
8,22,29,7
9,22,33,9
6,22,31,10
6,20,34,11
5,19,34,11
4,17,34,12
3,16,31,9
3,16,31,7
4,18,30,6
3,18,31,7
2,19,34,8
2,17,32,8
3,20,31,9
6,23,28,9
6,21,27,9
5,21,28,8
5,22,26,8
4,20,28,10
4,18,28,11
5,20,33,13
5,20,35,12
5,22,37,12
5,21,38,12
5,18,39,11
6,17,40,12
7,16,42,13
6,17,43,12
7,17,45,11
6,18,39,11
7,18,38,12
6,16,38,14
7,19,37,14
5,20,38,16
5,19,38,16
4,20,40,17
5,23,40,15
5,24,40,14
4,21,39,15
4,18,35,12
5,17,34,12
5,19,36,13
6,17,38,13
6,17,35,13
6,17,35,11
6,15,36,11
7,13,37,12
8,10,37,13
7,11,41,11
6,12,40,12
8,11,42,13
8,15,45,14
8,18,44,15
9,17,42,13
10,18,39,15
9,20,38,14
10,21,41,13
9,17,41,14
8,17,41,14
9,18,38,13
9,17,38,12
8,15,38,12
7,17,35,15
7,19,36,16
8,18,36,14
7,18,33,14
9,17,34,13
9,16,35,11
12,15,37,10
10,14,36,11
10,10,39,12
11,9,38,12
11,7,34,12
10,9,31,11
7,10,29,8
8,9,32,7
9,7,35,6
10,6,33,8
12,5,37,9
14,6,38,7
13,5,43,8
13,6,41,9
11,5,39,10
12,6,39,11
13,4,41,11
13,5,44,11
14,5,40,9
12,3,37,11
13,3,40,13
14,4,42,13
14,4,48,11
16,3,47,12
15,3,43,12
15,4,46,13
13,3,45,13
14,2,43,12
13,3,40,12
15,2,38,12
17,2,39,10
18,3,40,12
17,4,43,15
18,4,41,16
17,4,42,14
17,3,39,14
17,3,38,15
19,3,41,16
18,4,41,15
18,4,36,14
17,4,38,17
19,4,38,17
17,3,35,16
15,5,34,13
17,5,37,14
17,4,42,13
19,6,46,12
20,5,40,13
19,6,36,11
20,5,35,13
17,6,34,14
16,7,33,12
18,7,35,13
19,8,34,11
15,5,33,12
15,5,32,12
12,5,38,9
16,6,38,10
14,7,34,10
14,8,33,8
14,9,36,7
13,9,30,7
11,13,30,8
11,15,29,9
10,12,30,10
9,10,33,10
11,11,33,10
12,11,35,11
11,11,34,11
11,12,32,10
11,13,33,9
13,14,34,10
12,12,34,10
13,14,35,6
15,17,36,5
17,19,37,5
16,20,38,6
17,18,35,5
14,17,35,5
16,20,35,6
14,20,36,5
16,19,36,5
16,21,34,4
18,21,35,4
14,24,35,3
15,23,35,3
17,24,34,3
14,24,30,4
16,23,28,4
15,26,28,5
14,26,31,6
13,24,28,6
15,24,30,5
15,25,31,6
16,30,30,7
14,25,27,7
14,25,25,7
13,23,24,7
14,23,26,7
15,23,26,7
15,21,25,7
15,25,25,6
13,26,24,6
9,25,28,5
10,26,28,3
9,24,26,4
8,25,27,4
8,24,25,4
5,25,25,4
5,32,27,5
5,30,24,5
7,31,24,4
7,32,22,3
7,35,22,3
8,35,23,3
8,37,23,3
9,34,24,4
10,33,24,4
11,33,24,6
13,35,25,6
14,35,24,6
14,36,23,6
15,37,19,5
14,36,21,5
12,36,20,5
13,38,17,5
12,36,16,6
13,34,18,6
15,37,18,4
14,32,16,5
13,32,17,5
10,32,19,4
9,32,19,7
9,31,19,7
8,27,18,6
7,30,18,6
8,32,21,5
8,35,21,6
9,34,22,6
7,31,21,6
6,31,24,8
7,33,22,10
5,32,21,9
5,33,20,9
7,32,22,8
8,32,22,9
6,31,21,9
6,32,21,9
6,33,22,8
5,28,21,8
6,27,20,9
6,28,20,7
6,29,17,10
6,33,15,9
7,33,15,9
7,34,13,8
8,32,15,9
8,31,13,9
6,31,13,11
6,28,14,10
8,27,14,11
9,25,15,10
9,25,14,9
13,24,16,8
10,21,16,9
9,21,19,9
9,21,16,9
10,21,17,9
10,21,21,9
10,20,21,10
9,20,23,12
9,21,22,10
8,21,23,11
7,19,23,12
4,18,20,11
4,19,19,11
4,20,20,10
5,18,20,12
5,21,21,9
4,24,23,8
5,25,24,10
6,25,23,10
6,25,21,10
4,23,22,12
5,21,23,12
6,21,25,12
7,21,20,13
8,19,19,16
9,20,17,16
12,23,19,17
11,22,20,14
8,24,17,15
9,25,17,13
11,25,16,14
11,23,16,15
11,25,13,14
12,26,14,12
11,28,12,11
12,29,14,11
12,26,15,10
9,29,15,10
10,28,12,10
8,28,15,9
9,31,14,10
7,33,13,7
6,28,12,8
7,30,14,8
6,32,14,10
8,32,16,8
10,30,15,7
11,34,17,6
11,35,18,7
12,38,19,7
12,36,16,8
12,37,18,7
12,37,17,7
14,35,17,8
14,32,17,9
15,36,21,9
14,35,22,9
11,36,25,8
12,35,25,8
11,36,21,8
11,34,22,9
10,34,19,9
10,35,20,9
9,39,17,7
9,38,16,9
10,29,14,10
12,29,14,9
12,25,11,13
14,25,12,16
13,26,14,16
15,25,16,12
13,26,18,13
12,30,19,15
13,32,16,17
17,31,15,17
15,27,17,16
16,30,15,14
16,27,16,14
17,23,15,15
18,21,15,15
17,20,15,16
18,18,14,14
18,18,17,14
19,17,15,12
18,18,22,14
21,18,19,17
19,20,24,14
22,23,23,12
22,22,24,13
24,20,23,13
23,20,19,12
20,19,23,13
23,18,25,15
23,17,23,15
23,15,26,13
25,15,25,12
26,16,25,12
25,18,28,12
24,14,29,12
24,16,28,12
24,17,27,14
25,18,23,15
25,20,23,15
22,21,21,16
23,20,23,13
20,18,18,13
21,18,16,15
23,17,16,16
22,18,17,18
20,16,17,16
23,18,20,13
20,17,20,15
17,19,20,15
17,18,19,14
17,18,18,13
18,15,19,14
20,15,20,16
21,13,19,14
24,8,17,14
