CC, CD, DD, DC
23,31,26,20
23,31,26,20
20,29,22,19
18,25,19,21
18,24,22,16
18,23,22,15
16,22,25,12
15,24,25,12
13,22,25,9
12,18,26,9
15,18,27,8
16,17,25,9
20,16,21,8
18,19,24,8
18,19,24,7
16,19,24,6
13,21,24,8
14,21,22,8
14,17,22,8
17,19,23,10
17,21,21,11
18,20,17,12
18,20,18,9
17,23,18,9
14,24,19,11
11,27,19,11
10,24,20,11
10,23,24,12
9,24,24,11
11,19,21,12
12,19,21,12
12,19,23,10
14,19,20,10
16,20,19,12
16,19,18,14
17,19,19,11
18,19,18,9
18,20,19,6
19,23,15,4
22,22,16,4
24,24,16,3
23,27,15,3
24,27,12,3
21,23,14,3
21,24,16,6
22,27,21,6
24,27,23,6
25,25,21,6
25,27,19,6
25,23,17,5
26,25,16,4
26,25,18,4
28,22,17,3
28,24,15,4
29,22,15,3
30,23,17,3
26,23,17,4
28,25,16,4
30,23,15,3
30,27,14,3
28,24,16,6
26,21,18,7
26,26,20,5
30,25,22,5
31,26,22,5
30,27,20,2
26,28,23,3
25,26,20,2
24,24,18,2
28,24,17,1
25,27,18,2
28,28,15,3
26,31,16,3
25,30,15,3
27,30,16,2
22,32,15,2
22,32,18,2
16,33,20,1
17,35,19,1
14,32,22,1
15,32,18,2
15,33,17,3
14,33,18,4
15,28,18,4
12,27,18,4
11,28,21,5
11,24,22,6
12,21,21,8
13,17,20,6
14,18,18,6
16,17,22,6
19,15,22,7
21,19,24,8
22,22,25,9
23,22,25,11
23,18,25,12
23,16,25,11
24,20,26,10
23,21,23,10
25,19,25,13
24,17,23,13
22,17,22,10
22,16,19,10
20,17,18,8
18,15,20,8
18,15,20,9
19,15,19,9
20,18,20,10
20,19,20,11
21,20,20,11
22,20,23,9
23,19,24,9
22,21,22,9
24,23,24,9
22,21,25,9
22,21,21,8
18,20,19,7
18,21,17,9
16,20,21,9
16,24,21,9
15,26,20,7
13,25,21,8
16,26,18,7
15,28,19,9
15,28,17,8
13,31,18,7
12,33,15,8
13,34,17,8
13,38,19,8
14,39,21,9
11,40,20,10
12,42,20,9
11,38,17,9
12,35,15,8
14,41,17,8
14,40,17,4
15,44,16,4
14,45,14,5
12,45,14,5
10,41,15,5
11,41,15,6
11,44,15,7
13,44,14,8
13,44,12,6
11,41,15,6
11,43,14,8
11,40,12,7
8,35,11,8
8,38,11,7
8,40,10,7
9,40,10,7
9,38,11,6
9,35,13,7
12,34,14,5
11,36,14,5
8,36,15,5
9,39,15,5
8,36,17,5
9,33,17,6
10,31,17,7
8,40,16,7
6,41,15,9
7,42,16,9
6,41,16,9
7,40,16,9
7,38,16,9
7,42,11,9
5,41,13,10
5,40,12,10
4,43,11,8
4,41,11,8
4,37,13,8
5,43,13,7
6,43,14,6
7,44,16,6
5,43,14,3
5,45,13,3
7,44,15,2
7,39,17,3
6,40,15,3
4,42,15,3
5,40,15,3
5,42,19,4
6,38,18,4
6,39,18,4
6,42,20,5
7,40,17,6
7,38,16,5
7,42,13,5
7,41,15,5
7,42,16,6
9,38,18,6
8,39,19,7
8,38,18,7
9,41,20,7
9,43,21,8
8,43,21,9
8,42,20,9
9,41,19,10
10,41,21,11
12,37,17,11
11,34,17,11
11,33,16,12
7,34,17,12
8,39,16,12
7,44,14,12
8,45,12,11
6,44,12,12
4,39,11,12
4,34,13,13
3,37,16,15
3,31,16,14
3,33,15,15
3,33,17,18
4,36,17,17
5,35,16,16
4,33,17,15
6,33,19,12
5,34,22,13
4,32,23,13
3,30,26,14
3,31,25,14
3,32,28,9
2,33,26,10
0,30,23,8
1,27,23,8
2,28,19,9
2,26,22,9
2,25,24,11
4,25,21,11
4,23,22,13
7,23,21,12
6,25,23,11
5,25,20,12
5,24,19,15
6,27,17,12
6,28,20,12
6,28,18,16
5,28,17,16
7,32,18,16
5,34,15,15
5,35,13,16
4,35,14,18
3,35,14,19
3,35,14,17
3,37,12,16
4,37,13,16
5,33,14,18
5,32,12,19
4,33,10,21
6,35,10,19
6,37,9,18
8,37,11,16
9,37,8,17
7,37,6,16
7,41,8,16
6,42,8,15
7,42,9,14
8,42,10,14
8,45,10,13
7,46,12,12
9,41,11,12
10,42,10,11
9,40,11,10
9,40,11,9
10,38,9,9
11,35,9,10
12,40,12,11
15,37,13,12
13,34,13,12
13,34,14,10
14,30,13,12
13,29,12,8
13,22,14,8
15,24,14,8
12,22,12,8
13,23,14,8
12,25,16,8
12,25,18,7
11,27,21,9
13,26,21,9
13,24,22,8
13,30,21,7
10,31,20,6
11,29,23,5
10,33,24,6
9,34,23,9
8,32,24,11
8,29,20,11
10,30,21,11
9,31,22,13
8,30,21,12
9,30,19,11
13,30,18,11
14,27,18,10
19,26,20,9
18,25,20,8
16,24,23,9
14,24,23,9
14,21,27,8
11,20,28,8
11,22,26,7
12,25,29,7
13,26,32,7
12,27,30,7
12,25,29,7
12,24,27,5
13,27,27,5
14,29,29,4
15,30,33,3
16,29,29,3
14,31,26,3
14,24,27,3
9,23,24,4
8,26,24,4
7,27,22,4
9,24,20,4
12,26,20,5
12,29,19,8
12,29,20,8
10,32,21,9
9,29,21,11
10,27,23,11
11,24,21,11
10,25,22,12
10,25,25,12
8,22,23,13
10,22,23,14
7,23,24,15
7,21,28,13
7,20,23,15
8,21,21,18
8,19,20,19
8,23,17,16
8,21,18,14
10,20,18,17
8,17,19,14
8,16,19,12
8,18,18,13
9,16,17,12
9,16,16,13
9,16,19,13
10,18,19,15
11,22,19,14
14,20,19,14
12,18,17,12
13,15,20,12
10,16,20,11
11,16,20,10
11,17,18,10
14,16,20,11
15,18,21,11
16,15,18,7
17,11,21,6
18,11,23,6
20,11,23,9
17,11,24,12
16,14,24,12
15,11,24,13
13,12,20,13
12,15,19,14
11,18,23,14
8,17,24,13
8,17,24,14
9,18,25,13
10,16,26,17
11,17,23,19
10,22,21,19
11,23,19,20
12,20,20,18
15,18,19,17
15,21,21,20
16,24,21,22
17,25,17,22
18,23,19,26
19,21,18,27
19,22,18,26
19,19,15,27
18,20,15,26
19,19,21,25
19,18,20,26
19,18,19,26
19,17,19,27
17,19,20,23
17,18,19,19
19,19,21,19
17,21,22,18
16,21,21,20
14,22,18,19
15,22,15,19
14,23,15,23
14,22,14,23
17,23,14,23
14,24,13,22
11,24,14,22
13,26,15,23
14,24,17,21
16,23,18,21
14,22,20,22
11,22,19,23
9,23,20,17
10,25,18,17
11,30,17,14
12,29,18,11
11,28,20,11
12,29,18,11
15,30,20,11
14,26,20,12
13,31,18,13
13,31,15,13
13,33,18,12
13,36,17,15
13,38,18,12
13,38,17,9
12,39,15,9
13,44,14,9
12,43,14,10
14,44,14,9
12,42,13,9
14,38,13,10
13,35,11,12
11,35,12,11
11,38,11,13
12,37,10,11
13,38,9,11
13,39,8,10
12,39,8,9
12,38,9,10
13,37,9,10
13,35,14,10
12,33,13,9
10,35,10,9
10,35,7,11
10,34,6,12
12,34,6,16
12,27,6,15
12,24,5,14
11,25,6,14
11,25,7,14
11,28,6,16
11,26,6,16
10,23,7,15
13,22,6,15
15,25,6,14
16,28,5,12
16,28,7,12
16,32,7,14
16,31,7,15
14,34,7,16
13,33,7,17
14,34,8,18
13,34,7,18
13,35,7,18
13,35,8,16
13,34,8,17
13,35,7,19
12,36,7,21
12,38,8,23
15,40,6,23
15,39,6,22
16,40,7,19
16,39,8,18
13,42,10,15
15,44,11,16
13,40,9,16
14,36,10,15
12,35,8,15
9,36,8,15
9,35,6,15
10,38,4,13
10,41,5,16
11,39,6,15
10,40,8,12
12,37,7,12
13,39,5,12
10,46,5,11
9,50,5,11
9,48,4,12
9,51,4,12
9,47,3,11
9,51,4,12
10,55,4,12
10,56,4,10
10,56,6,9
8,59,7,6
9,58,9,5
9,56,7,3
9,57,7,5
9,54,10,6
8,52,9,6
8,50,9,6
7,54,8,6
8,50,7,6
8,51,7,10
9,46,9,10
8,44,9,9
7,41,10,8
7,41,10,8
7,39,9,10
9,40,13,10
8,38,13,10
